id,name,gender,yearOfBirth,birthCity,birthState,yearOfDeath,deathCity,deathState,url
374,Master of the Giants,None,1755,Unknown,Unknown,1834,Unknown,Unknown,http://www.tate.org.uk/art/artists/master-of-the-giants-prince-hoare-374
2516,"Masters, E.",None,1800,Unknown,Unknown,1899,Unknown,Unknown,http://www.tate.org.uk/art/artists/e-masters-2516
1592,"Mathews, Denis",None,1913,Hampstead,United Kingdom,1997,Unknown,Unknown,http://www.tate.org.uk/art/artists/denis-mathews-1592
1593,"Matisse, Henri",None,1869,Le Cateau-Cambrésis,France,1954,Nice,France,http://www.tate.org.uk/art/artists/henri-matisse-1593
1591,"Matschinsky-Denninghof, Brigitte",None,1923,Berlin,Deutschland,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/brigitte-matschinsky-denninghof-1591
1594,Matta,None,1911,Santiago,Chile,2002,Unknown,Unknown,http://www.tate.org.uk/art/artists/matta-roberto-matta-echaurren-1594
7732,"Matta-Clark, Gordon",None,1943,New York,United States,1978,Nyack,United States,http://www.tate.org.uk/art/artists/gordon-matta-clark-7732
2745,"Matthiasdottir, Louisa",None,1917,Reykjavík,Ísland,2000,Unknown,Unknown,http://www.tate.org.uk/art/artists/louisa-matthiasdottir-2745
1595,"Maufra, Maxime",None,1861,Nantes,France,1918,Poncé-sur-le-Loir,France,http://www.tate.org.uk/art/artists/maxime-maufra-1595
1596,"Maundrell, Charles",None,1860,Peckham,United Kingdom,1924,Unknown,Unknown,http://www.tate.org.uk/art/artists/charles-maundrell-1596
1597,"Maurer, Dora",None,1937,Budapest,Magyarország,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/dora-maurer-1597
1598,"Mauve, Anton",None,1838,Zaandam,Nederland,1888,Arnhem,Nederland,http://www.tate.org.uk/art/artists/anton-mauve-1598
1599,"Maxwell, John",None,1905,England,United Kingdom,1962,England,United Kingdom,http://www.tate.org.uk/art/artists/john-maxwell-1599
2367,"May, Nicholas",None,1962,Limavady,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/nicholas-may-2367
1600,"May, Phil",None,1864,Leeds,United Kingdom,1903,London,United Kingdom,http://www.tate.org.uk/art/artists/phil-may-1600
5672,"Mayakovsky, Vladimir",None,1893,Unknown,Unknown,1930,Unknown,Unknown,http://www.tate.org.uk/art/artists/vladimir-mayakovsky-5672
1601,"Mayor, Fred",None,1865,North Yorkshire,United Kingdom,1916,London,United Kingdom,http://www.tate.org.uk/art/artists/fred-mayor-1601
1602,"Maze, Paul",None,1887,Le Havre,France,1979,Chichester,United Kingdom,http://www.tate.org.uk/art/artists/paul-maze-1602
7491,"McCall, Anthony",None,1946,London,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/anthony-mccall-7491
2766,"McCarthy, Paul",None,1945,Salt Lake City,United States,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/paul-mccarthy-2766
1603,"McCartney, Linda",None,1941,New York,United States,1998,Tucson,United States,http://www.tate.org.uk/art/artists/linda-mccartney-1603
1604,"McComb, Leonard",None,1930,Glasgow,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/leonard-mccomb-1604
7026,"McCullin, Don",None,1935,London,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/don-mccullin-7026
9572,"McElheny, Josiah",None,1966,Boston,United States,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/josiah-mcelheny-9572
1605,"McEvoy, Ambrose",None,1878,Wiltshire,United Kingdom,1927,London,United Kingdom,http://www.tate.org.uk/art/artists/ambrose-mcevoy-1605
1606,"McEvoy, Mary",None,1870,Freshford,Éire,1941,London,United Kingdom,http://www.tate.org.uk/art/artists/mary-mcevoy-1606
1607,"McEwen, Rory",None,1932,Scotland,United Kingdom,1982,London,United Kingdom,http://www.tate.org.uk/art/artists/rory-mcewen-1607
5448,"McFadyen, Jock",None,1950,Paisley,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/jock-mcfadyen-5448
1608,"McFall, David B.",None,1919,Glasgow,United Kingdom,1988,Unknown,Unknown,http://www.tate.org.uk/art/artists/david-b-mcfall-1608
2393,"McHale, John",None,1922,Unknown,Unknown,1978,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-mchale-2393
2335,"McKeever, Ian",None,1946,Withernsea,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/ian-mckeever-2335
2194,"McKenna, Stephen",None,1939,London,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/stephen-mckenna-2194
8631,"McKenzie, Lucy",None,1977,Glasgow,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/lucy-mckenzie-8631
1609,"McKinnon, Michael",None,1940,Unknown,Unknown,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/michael-mckinnon-1609
364,"McLachlan, Thomas Hope",None,1845,Unknown,Unknown,1897,Unknown,Unknown,http://www.tate.org.uk/art/artists/thomas-hope-mclachlan-364
2787,"McLaughlin, John",None,1898,Sharon,United States,1976,Dana Point,United States,http://www.tate.org.uk/art/artists/john-mclaughlin-2787
1610,"McLean, Bruce",None,1944,Glasgow,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/bruce-mclean-1610
1611,"McLean, John",None,1939,Liverpool,United Kingdom,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-mclean-1611
1612,"McMillan, William",None,1887,Aberdeen,United Kingdom,1977,Unknown,Unknown,http://www.tate.org.uk/art/artists/william-mcmillan-1612
